SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
501455,GREAVES COTT,A ,Q,121.20,122.20,120.15,120.55,120.55,121.50,206,10331,1250213.00,
501700,INDIA NIVEH ,X ,Q,65.00,65.00,64.55,64.65,64.65,64.70,24,5299,342441.00,
501831,COAST CORP  ,X ,Q,330.00,340.45,327.15,340.45,340.45,333.80,107,18893,6420008.00,
501833,CHOWGULE ST ,XT,Q,7.95,8.15,7.50,7.50,7.50,7.85,7,4307,32561.00,
501848,GLOBAL OFFS ,B ,Q,12.98,12.98,12.66,12.69,12.69,13.20,10,370,4715.00,
502015,ASIIL       ,X ,Q,14.15,14.30,13.00,13.53,13.45,14.13,69,13588,184505.00,
502090,SAGAR CEM.  ,B ,Q,611.00,637.55,586.15,595.30,595.00,599.50,31,81,49022.00,
502157,MANGALAM CEM,B ,Q,208.80,213.55,206.85,209.85,209.90,213.00,23,688,143460.00,
502168,N C L IND.  ,B ,Q,132.00,132.00,115.30,116.60,116.00,119.05,39,540,64082.00,
502175,SAURAS.CEM. ,X ,Q,40.90,41.90,39.55,40.30,40.30,41.00,48,4094,164970.00,
502180,SRI DIGV CEM,X ,Q,21.40,22.10,21.00,21.65,21.50,21.55,105,41831,898651.00,
502219,BOROSIL GLAS,B ,Q,214.05,216.90,210.00,211.95,212.90,212.45,193,5274,1116495.00,
502250,LERTHAI     ,XT,Q,325.00,325.00,325.00,325.00,325.00,342.00,6,100,32500.00,
502271,RAASI REFRAC,XT,Q,18.05,18.05,18.05,18.05,18.05,18.02,1,221,3989.00,
502281,TRIVENI GLAS,XT,Q,10.70,10.70,10.68,10.68,10.68,11.24,4,1050,11219.00,
502330,IPAPPM      ,B ,Q,469.40,469.65,449.25,453.45,453.45,474.25,561,17558,8000866.00,
502355,BALKRISH IND,A ,Q,824.00,824.00,794.65,805.40,805.40,822.75,1118,32599,26196045.00,
502407,NATH PULP   ,X ,Q,65.00,76.95,65.00,67.70,67.05,67.90,23,1876,125665.00,
502420,ORIENT PAPER,B ,Q,37.55,37.55,34.50,34.65,34.50,36.30,531,59860,2098711.00,
502445,CITADEL     ,X ,Q,21.90,23.75,20.15,22.25,22.50,21.75,10,6236,131004.00,
502448,ROLLATAINER ,B ,Q,2.51,2.51,2.25,2.42,2.48,2.59,24,2540,5919.00,
502450,SESHA.PAPER ,B ,Q,1018.00,1023.85,981.10,996.95,981.10,1019.30,74,528,530606.00,
502587,RAMA PULP   ,X ,Q,72.40,72.40,64.00,68.05,68.00,68.95,36,5964,408176.00,
502742,SINTEX IND. ,B ,Q,9.83,9.83,9.10,9.20,9.20,9.83,483,311913,2890157.00,
502761,BLUE BLEND  ,B ,Q,3.80,3.80,3.36,3.36,3.36,3.46,4,121,454.00,
502820,DCM LTD.    ,B ,Q,71.50,71.50,65.40,68.30,68.85,68.35,24,862,58033.00,
502865,FORBES & CO ,B ,Q,2053.25,2072.70,2005.55,2028.20,2041.10,2053.25,42,391,795550.00,
502873,H.P.COTTON  ,X ,Q,38.00,38.00,35.00,37.95,37.95,37.45,8,123,4365.00,
502901,JAMSHRI RANJ,X ,Q,24.90,24.90,24.85,24.85,24.85,24.85,2,75,1867.00,
502937,KESORAM IND ,B ,Q,68.70,69.40,63.25,64.70,64.45,69.00,458,28426,1873790.00,
502958,LAKSHMI MILL,X ,Q,2766.00,2850.00,2750.00,2760.00,2760.00,2899.00,11,25,69037.00,
502986,VARDH TEXT  ,A ,Q,1089.90,1089.90,1058.80,1064.85,1063.40,1096.10,35,79,84393.00,
503031,PENLAND LTD ,B ,Q,9.25,9.63,9.02,9.06,9.06,9.43,232,70068,647926.00,
503100,PHOENIX MILL,A ,Q,626.10,626.15,584.30,594.50,594.50,625.15,178,1101,660948.00,
503101,MARATHON NEX,B ,Q,114.90,117.90,109.05,109.05,109.05,106.05,16,521,58462.00,
